number,type,active_bound_mark,active_plant,active_meetings,active_patrols_per_month_dichto,active_catch_ab_7,active_report_out_vo,pc_good_average_bi,ext_theft_mentioned
20,CFP,0,1,0,0,0,0,1,0
5,HIMA,0,1,1,0,0,0,1,0
19,CFP,0,1,1,1,0,0,1,1
25,HIMA(COAST,0,1,1,0,0,0,1,0
6,HIMA_DROP,0,0,0,0,0,0,1,1
16,HIMA,0,1,0,0,0,0,2,1
29,INDEPENDEN,0,1,1,0,1,0,2,0
15,HIMA,0,0,1,1,1,0,2,1
27,HIMA(COAST,1,1,1,1,0,0,2,1
28,HIMA(COAST,1,1,1,1,1,1,2,1
1,HIMA,1,0,0,1,0,0,1,1
9,HIMA,1,1,1,0,0,0,1,0
12,HIMA,1,1,1,0,0,0,1,1
4,HIMA,1,1,1,1,0,0,1,0
2,HIMA,0,1,1,0,0,0,1,0
8,HIMA,1,0,1,1,0,0,1,1
26,HIMA(COAST,0,1,0,0,0,0,1,0
18,HIMA_DROP,1,1,0,1,0,0,1,1
14,HIMA,0,1,0,0,1,0,2,1
17,HIMA,0,1,1,1,0,0,2,1
7,HIMA,1,1,1,0,0,1,1,1
13,HIMA,1,1,1,1,0,0,2,1
10,HIMA,1,0,0,1,1,1,1,1
3,HIMA,1,1,1,0,0,0,2,0
22,CFP,0,1,1,1,0,0,2,1
21,CFP,1,1,1,1,0,0,1,1
11,HIMA,1,1,1,1,1,1,2,1
24,HIMA(COAST,1,1,1,1,1,1,2,1
